age,income,transactions,score,category
38.0,80457.93344720863,,,A
25.0,73427.77472957529,14.0,,A
43.0,49207.796500728145,10.0,0.6020033387315509,A
44.0,37462.44815938655,,0.7657410733436588,B
15.0,15532.067432375232,17.0,0.6415438012829048,A
22.0,51847.56738101048,13.0,0.6687838704318253,A
36.0,96306.22518371104,12.0,0.6544513871571774,B
32.0,66523.2640719547,10.0,0.70462324678815,A
35.0,51606.41570925766,10.0,0.9416145672834146,A
26.0,66976.2031425046,,0.7456509503938782,A
44.0,36585.624705083355,16.0,0.36294910232316974,C
,55540.149559535465,16.0,0.6669992272918355,A
36.0,,17.0,0.7712221152154827,B
46.0,58708.490222684275,14.0,0.7804051209804219,C
40.0,71862.0918253512,,,B
,65169.67839354079,22.0,0.7747416667782191,A
39.0,70024.89027161995,,0.7391613599326807,B
25.0,49674.41576653861,,0.9858776155454595,A
,73467.23112615822,,0.48749973956272324,A
35.0,84434.05421435987,18.0,0.5238899135399362,B
33.0,45447.75720522881,18.0,0.5540821427310069,A
28.0,46684.5651642816,,0.5264666774941837,A
47.0,80036.7650448035,17.0,0.46649688753545954,A
33.0,,12.0,0.18559867414893855,A
31.0,81057.32088099836,14.0,0.5347950789415299,A
31.0,53361.96432161724,11.0,0.6554037089549857,B
40.0,,13.0,,C
39.0,61972.287252081784,19.0,0.8903071775293665,A
39.0,63873.43234984043,18.0,0.6020063719073794,B
39.0,83470.77032504856,11.0,0.7936543582776203,A
56.0,54573.44283833743,14.0,0.6392130619094952,A
31.0,45883.168561125625,8.0,0.7239610964839887,A
30.0,,19.0,0.6418862330900343,A
27.0,66785.00925964708,20.0,0.8053176947855344,A
41.0,,11.0,0.60839090251986,A
46.0,,16.0,0.6744181062133179,A
34.0,51918.43023573385,17.0,0.6549499400475065,B
27.0,77217.18991100346,15.0,0.5567571812809021,A
27.0,24086.095426492924,,0.6607473478387015,A
42.0,48201.51337343747,14.0,0.9351579369296523,A
42.0,34702.97773148847,17.0,0.5594404586856837,B
40.0,47606.55800454071,19.0,0.6629197339279872,A
28.0,63714.98851663415,13.0,0.7886668426304164,B
37.0,57311.60061825368,19.0,0.771037992141642,A
36.0,56199.33646577978,21.0,0.6017574626579048,A
37.0,57612.22692929909,,0.24249169455639574,C
,63050.82360929915,,0.6775054227972699,A
37.0,44871.95937085338,8.0,0.26707886120654206,A
42.0,70602.74461348576,18.0,0.8204905846411846,A
36.0,,17.0,0.625421080678989,C
38.0,65775.56906484152,11.0,0.7499511029807984,B
41.0,,15.0,0.4646833292728423,B
20.0,64446.27001212989,9.0,0.3671238790049918,C
32.0,90526.09954096601,18.0,0.639113157621175,A
,58693.58743421235,18.0,,C
29.0,55393.751724981346,18.0,0.5262688760764251,A
32.0,48697.08629463933,13.0,0.6126991921099145,B
50.0,44516.059941332445,11.0,1.015115383804839,A
26.0,41332.92318598387,10.0,0.7251788321053586,A
45.0,46668.040301536224,11.0,,C
18.0,58939.794275218934,19.0,0.7265905337330033,A
32.0,65014.42692746572,17.0,,C
,60767.13087828243,14.0,0.5714892490648883,A
,48516.970838554305,11.0,0.29178580384870595,B
42.0,73502.76846029944,17.0,0.5717120800490985,C
43.0,,18.0,0.7217603564994752,A
32.0,57605.27538866975,16.0,0.45452994073273895,C
30.0,50206.25783002932,17.0,0.5735451074266005,B
44.0,272905.675249788,,0.49623453854965305,B
33.0,62819.60381229156,14.0,0.8253043877764695,A
22.0,38278.091108774286,19.0,0.7124185523109845,B
,58980.29616023393,14.0,0.6977310930965939,B
26.0,63930.53718111572,15.0,0.6932401969681456,A
15.0,20623.02728533916,16.0,0.9443597103612957,A
36.0,62847.65089256164,8.0,0.6296334423791256,A
42.0,38177.662721133165,,0.42222231292015233,C
31.0,80042.79150018256,21.0,0.2720337031874149,A
37.0,78719.24977589148,7.0,0.6225121695517536,B
41.0,56212.239985455526,16.0,0.6485985384408216,C
32.0,65451.815067586096,17.0,0.7813896852638066,A
40.0,23851.170513001874,9.0,0.8357003724123551,A
28.0,42654.78509602001,14.0,0.835499772749842,B
31.0,55593.31619771805,13.0,0.4502964610059183,A
31.0,43918.00467859711,7.0,0.5471602447575346,B
,70715.94723945989,,0.6720501443822069,B
40.0,89959.4479612199,22.0,0.9797857016613265,B
,42350.779208560474,9.0,0.8220148805570874,A
,47438.04893872211,16.0,0.767909574299757,B
40.0,63531.72552464895,19.0,0.5418318066676064,B
39.0,84166.74222749431,14.0,0.4675200553267313,A
42.0,41664.38531190145,23.0,0.7183361825074859,B
34.0,63735.541834604126,19.0,,C
31.0,87319.48276219663,14.0,0.5642345473529546,B
34.0,35223.61277731099,16.0,0.5827833076497115,A
18.0,40783.96189731252,13.0,0.8389368133684212,A
,53645.90090308743,16.0,0.5467954045560484,A
22.0,52191.17380716884,,0.23411255421410765,A
25.0,72189.01931630466,22.0,0.6756666971493702,A
39.0,63624.89579731257,13.0,0.495146722034411,C
26.0,33375.56910536808,16.0,0.606394653665662,A
31.0,67731.15604351216,17.0,0.5869942948736814,C
48.0,51336.916689665246,13.0,0.5589444006273347,A
31.0,79116.70825411858,13.0,0.7185510872677056,A
42.0,50586.1869534462,11.0,0.3700702682470939,A
26.0,50450.770753466466,14.0,0.5224478662568459,A
33.0,68116.97416206797,16.0,0.7026056869676072,B
25.0,71443.89723505406,12.0,,C
32.0,66721.49045904305,22.0,0.3586789936095042,C
43.0,,17.0,0.7002833014885104,A
18.0,68070.51659892377,23.0,0.7684641945662308,B
39.0,44485.37922488402,22.0,0.5932507188535491,A
37.0,63529.14167382395,17.0,0.3058731602295701,C
29.0,,20.0,0.7058954620048224,B
21.0,66694.83221314596,15.0,0.3510168177870468,A
36.0,47901.01643538941,19.0,0.6463198915272248,A
30.0,,20.0,0.466880426288676,A
37.0,70707.302047236,16.0,0.4260241071349552,A
35.0,63624.66782515127,15.0,0.5337134974380464,C
51.0,50790.34797910655,20.0,0.572505366535911,B
33.0,81767.68273531596,16.0,0.5033687624420328,C
25.0,53390.213676453866,13.0,0.6883054917322726,A
37.0,,19.0,,B
37.0,64033.70171517901,,0.7470286307507733,A
49.0,50705.0109880708,13.0,0.6421759748465219,B
43.0,67067.04440099894,19.0,0.4953664190105538,A
39.0,51998.214792529136,,0.4701090174251571,A
50.0,53825.42516675686,15.0,0.35287555514288416,B
23.0,80439.63959705012,10.0,0.6436099766800233,A
29.0,44391.20921231351,13.0,0.5468118679122963,A
26.0,23808.29503605765,15.0,0.24417067079047283,B
31.0,84164.05492517841,10.0,0.51964276908459,A
21.0,98239.91928910505,13.0,0.4648448956117572,C
41.0,53920.96101826002,23.0,0.836351638825599,B
33.0,30947.42939069722,20.0,,C
20.0,55342.740357060844,14.0,0.38379738003989194,B
,55706.65575238996,13.0,,B
38.0,57151.14238466614,19.0,0.8035144736195945,B
43.0,43299.17937117227,10.0,0.48825255919115373,C
55.0,68693.41713714716,21.0,0.5051871265786634,B
64.0,67867.61062929129,14.0,0.6924353094829969,A
20.0,21930.119078600852,13.0,0.9308937698236038,A
25.0,70487.95097542331,17.0,0.32082094732416655,B
,90790.27472918836,,0.5578899898723932,A
38.0,62579.4049865559,19.0,0.8324835849193688,A
27.0,54940.12256897241,15.0,0.534640486774989,A
31.0,57869.95178388718,15.0,0.6151405187602732,B
29.0,69228.85150452841,14.0,0.7700683908846018,A
34.0,34039.92591739172,14.0,0.9160327099917218,B
46.0,,14.0,0.5134727290277531,B
37.0,54143.04075805785,16.0,,C
33.0,87717.37519434068,10.0,0.8733082832014263,A
25.0,57387.40899292563,28.0,0.3716701087212857,B
18.0,85018.3141667928,,0.7541371605830732,B
,43443.88953326989,7.0,0.44725267014581127,A
34.0,68808.88750204188,,0.6153708550654735,B
,64791.00395686843,11.0,0.5636071428899588,A
,46964.291282028265,16.0,0.4562982598948156,C
45.0,62660.9417195541,23.0,0.45253471085125874,A
30.0,78187.782552474,9.0,,C
23.0,55143.124435700985,14.0,0.7493308992244023,B
25.0,34620.56026245355,13.0,0.5805395695217245,A
28.0,59736.557602838315,15.0,0.6105169738099825,B
56.0,46463.65357811231,13.0,0.685676109943657,A
27.0,54864.885920041765,17.0,0.45425718404805604,B
,58776.183454723185,12.0,0.7109538762619384,B
26.0,137660.86703906895,91.0,0.722901464558962,A
44.0,35765.12491018983,,0.9905439448125615,A
39.0,268924.0101315315,95.0,0.5435843714160626,B
,52159.219557454795,15.0,0.5312877297497809,A
,21528.834872691492,8.0,,C
,71772.66054912203,12.0,0.7228656253368207,B
18.0,18268.526999291444,,0.9700695258175532,B
30.0,49291.87763945274,15.0,0.5395255984604926,A
23.0,40247.54683412638,19.0,0.681169625732706,B
22.0,72537.11844471506,18.0,0.47586236388980074,C
37.0,65240.259338406446,16.0,0.5384199017977478,A
51.0,95739.0342402611,17.0,0.6134389151052652,A
37.0,,25.0,0.7493908027233387,A
34.0,65815.54711893022,14.0,0.5093102075730689,A
38.0,57496.081048371525,15.0,0.3236423306953992,B
48.0,72251.63800801187,14.0,0.3125103798722684,A
37.0,69376.27801872231,18.0,0.41108803999407995,B
31.0,78775.87512847793,11.0,,A
,52180.15622044073,12.0,,A
39.0,53468.887905840566,24.0,0.42166797696035924,A
50.0,52813.452436320295,11.0,0.49458675602681934,C
37.0,71862.02581768484,15.0,0.4838871172526925,B
23.0,82475.61660445097,18.0,0.533923820872801,A
21.0,53117.39260276049,11.0,0.7983756497284683,B
52.0,53628.39408310363,15.0,0.6992921384145775,A
52.0,64711.15835804699,12.0,0.6024194122914006,A
33.0,56313.57749980648,,0.5308460579128742,A
31.0,74280.80479709835,17.0,,C
50.0,26223.340640714297,15.0,0.6491619704927925,B
24.0,47599.42429624658,14.0,,B
26.0,48263.75499057831,12.0,,A
41.0,25194.65981420783,11.0,0.6054721133421347,A
31.0,,14.0,0.29525706470054597,B
35.0,46272.65826231111,18.0,0.6317570676255895,A
33.0,56983.43018221755,12.0,0.7143223862938028,C
38.0,76694.48837490396,14.0,0.5579897059678687,B
49.0,56324.09023213947,13.0,0.8724790494210157,A
36.0,44537.79419593269,15.0,0.46781423288459245,B
41.0,59145.68188179706,16.0,0.6326160622954892,C
14.0,75737.60432162024,21.0,0.5946262880001066,A
35.0,45360.61775827643,14.0,0.5849553498834887,B
,46341.376741178276,15.0,,C
23.0,,16.0,,A
26.0,56676.95826403799,19.0,0.727193811519555,C
32.0,69712.27036064211,13.0,0.8066604354412116,A
44.0,59795.29812307055,12.0,0.5996624633243763,B
22.0,70524.9547213435,23.0,0.722297410825745,B
